InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,John Baker,7,1076,124,266,57,1,14,120,2,.247,.341,0,367,0,2014,bakerjo01
FALSE,FALSE,Jack Lewis,3,684,63,169,20,10,1,80,18,.247,.310,0,212,0,1915,lewisja01
FALSE,FALSE,Rowdy Elliott,5,402,36,97,15,5,1,44,5,.241,.311,0,125,0,1920,ellioro01
FALSE,FALSE,Henry Reitz,7,2744,447,801,108,65,11,463,122,.292,.391,0,1072,0,1899,reitzhe01
FALSE,FALSE,Eddie Phillips,6,997,82,236,54,6,14,126,3,.237,.345,0,344,0,1935,philled01
FALSE,FALSE,Andres Torres,9,1910,277,462,113,29,32,174,77,.242,.382,0,729,0,2013,torrean02
FALSE,FALSE,Karl Olson,6,681,74,160,25,6,6,50,3,.235,.316,0,215,0,1957,olsonka01
FALSE,FALSE,Ken Retzer,4,690,65,182,25,2,14,72,5,.264,.367,0,253,0,1964,retzeke01
FALSE,FALSE,Jeff Heath,14,4937,777,1447,279,102,194,887,56,.293,.509,2,2512,4,1949,heathje01
FALSE,FALSE,Sammy White,11,3502,324,916,167,20,66,421,14,.262,.377,1,1321,0,1962,whitesa02
FALSE,FALSE,David Lough,5,749,95,190,29,10,13,67,17,.254,.371,0,278,0,2016,loughda01
FALSE,FALSE,Frank Torre,7,1482,150,404,78,15,13,179,4,.273,.372,0,551,0,1963,torrefr01
FALSE,FALSE,Everett Mills,6,1525,283,433,62,21,2,204,10,.284,.356,0,543,0,1876,millsev01
FALSE,FALSE,Bret Barberie,6,1434,163,388,73,6,16,133,16,.271,.363,0,521,0,1996,barbebr01
FALSE,FALSE,Pete Scott,3,522,95,158,41,6,8,88,5,.303,.450,0,235,0,1928,scottpe01
FALSE,FALSE,Tony Rensa,6,514,71,134,26,5,7,65,5,.261,.372,0,191,0,1939,rensato01
FALSE,FALSE,Mark McLemore,19,6192,943,1602,255,47,53,615,272,.259,.341,0,2110,0,2004,mclemma01
FALSE,FALSE,Gus Williams,5,1398,171,367,58,31,12,147,95,.263,.374,0,523,0,1915,willigu02
FALSE,FALSE,Fred Corey,7,1738,239,427,70,43,7,124,0,.246,.348,0,604,0,1885,coreyfr01
FALSE,FALSE,Jim Busby,13,4250,541,1113,162,35,48,438,97,.262,.350,1,1489,0,1962,busbyji01
FALSE,FALSE,Bill Doran,12,5131,727,1366,220,39,84,497,209,.266,.373,0,1916,0,1993,doranbi02
FALSE,FALSE,Marv Foley,5,419,37,94,10,0,12,51,0,.224,.334,0,140,0,1984,foleyma01
FALSE,FALSE,Bob Tillman,9,2329,189,540,68,10,79,282,1,.232,.371,0,865,0,1970,tillmbo01
FALSE,FALSE,Chris Shelton,5,930,132,254,46,7,37,124,2,.273,.457,0,425,0,2009,sheltch01
FALSE,FALSE,Bobby Byrne,11,4831,667,1225,186,60,10,329,176,.254,.323,0,1561,0,1917,byrnebo01
FALSE,FALSE,Morrie Arnovich,7,2013,234,577,104,12,22,261,17,.287,.383,1,771,0,1946,arnovmo01
FALSE,FALSE,Fernando Gonzalez,6,1038,85,244,40,7,17,104,8,.235,.336,0,349,0,1979,gonzafe01
FALSE,FALSE,Chico Walker,11,1217,150,299,37,7,17,116,67,.246,.329,0,401,0,1993,walkech01
FALSE,FALSE,Hal Jeffcoat,12,1963,249,487,95,18,26,188,49,.248,.355,0,696,0,1959,jeffcha01
FALSE,FALSE,Jimmie Savage,3,503,82,139,9,9,1,26,17,.276,.336,0,169,0,1915,savagji01
FALSE,FALSE,Paul Lehner,7,1768,175,455,80,21,22,197,6,.257,.364,0,643,0,1952,lehnepa01
FALSE,FALSE,Jose Oquendo,12,3202,339,821,104,24,14,254,35,.256,.317,0,1015,0,1995,oquenjo01
FALSE,FALSE,Buddy Lewis,11,5261,830,1563,249,93,71,607,83,.297,.420,2,2211,0,1949,lewisbu01
FALSE,FALSE,Bob Molinaro,8,803,106,212,25,11,14,90,46,.264,.375,0,301,0,1983,molinbo01
FALSE,FALSE,Jay Porter,6,544,58,124,22,1,8,62,4,.228,.316,0,172,0,1959,porteja01
FALSE,FALSE,Wes Helms,13,2711,280,694,151,14,75,374,3,.256,.405,0,1098,0,2011,helmswe01
FALSE,FALSE,Chris Fulmer,5,876,176,216,37,9,1,85,76,.247,.313,0,274,0,1889,fulmech02
FALSE,FALSE,Roberto Mejia,4,411,47,90,24,6,10,40,7,.219,.380,0,156,0,1997,mejiaro02
FALSE,FALSE,John Anderson,14,6345,871,1843,328,124,50,978,338,.290,.405,0,2569,0,1908,anderjo01
FALSE,FALSE,Don Wert,9,3840,417,929,129,15,77,366,22,.242,.343,1,1319,0,1971,wertdo01
FALSE,FALSE,Otto Schomberg,3,777,155,220,29,23,7,122,34,.283,.407,0,316,0,1888,schomot01
FALSE,FALSE,Felix Martinez,5,641,77,137,26,7,3,39,18,.214,.290,0,186,0,2001,martife01
FALSE,FALSE,Casper Wells,4,688,92,158,31,4,25,81,6,.230,.395,0,272,0,2013,wellsca01
FALSE,FALSE,Lance Niekro,4,499,61,123,26,5,17,79,0,.246,.421,0,210,0,2007,niekrla01
FALSE,FALSE,Tom Burns,13,4920,722,1307,236,69,39,683,162,.266,.365,0,1798,0,1892,burnsto01
FALSE,FALSE,Joe Lis,8,780,96,182,31,1,32,92,1,.233,.399,0,311,0,1977,lisjo01
FALSE,FALSE,Lou Klein,5,1037,162,269,48,15,16,101,10,.259,.381,0,395,0,1951,kleinlo01
FALSE,FALSE,David Newhan,8,986,148,249,37,10,23,120,29,.253,.380,0,375,0,2008,newhada01
FALSE,FALSE,Doug Baird,6,2106,230,492,86,45,6,191,118,.234,.326,0,686,0,1920,bairddo01
FALSE,FALSE,Darwin Barney,8,2536,297,625,117,15,31,201,29,.246,.341,0,865,1,2017,barneda01
FALSE,FALSE,David Ross,15,2280,254,521,116,5,106,314,3,.229,.423,0,965,0,2016,rossda01
FALSE,FALSE,Larry Elliot,4,437,53,103,22,2,15,56,1,.236,.398,0,174,0,1966,elliola01
