InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Bill Abstein,3,619,54,150,22,10,1,76,21,0.24232633279483,0.315024232633279,0,0,0,0,0,195,0,1910,143
FALSE,FALSE,Jap Barbeau,4,712,96,160,25,8,0,46,39,0.224719101123595,0.282303370786517,0,0,0,0,0,201,0,1910,145
FALSE,FALSE,Heinie Beckendorf,2,137,9,25,2,0,0,13,0,0.182481751824818,0.197080291970803,0,0,0,0,0,27,0,1910,146
FALSE,FALSE,Red Kelly,1,45,6,7,0,1,0,1,0,0.155555555555556,0.2,0,0,0,0,0,9,0,1910,148
FALSE,FALSE,Dutch Lerchen,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,149
FALSE,FALSE,George Hunter,2,123,8,28,7,0,0,8,1,0.227642276422764,0.284552845528455,0,0,0,0,0,35,0,1910,151
FALSE,FALSE,Ray Jansen,1,5,0,4,0,0,0,0,0,0.8,0.8,0,0,0,0,0,4,0,1910,152
FALSE,FALSE,Charlie French,2,377,36,78,5,2,0,20,13,0.206896551724138,0.230769230769231,0,0,0,0,0,87,0,1910,154
FALSE,FALSE,Red Fisher,1,72,5,9,2,1,0,3,5,0.125,0.180555555555556,0,0,0,0,0,13,0,1910,155
FALSE,FALSE,Heinie Heitmuller,2,321,47,87,11,10,0,22,13,0.271028037383178,0.367601246105919,0,0,0,0,0,118,0,1910,157
FALSE,FALSE,Bert Graham,1,26,1,3,2,1,0,5,0,0.115384615384615,0.269230769230769,0,0,0,0,0,7,0,1910,158
FALSE,FALSE,George Wheeler,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,160
FALSE,FALSE,Art Thomason,1,70,4,12,0,1,0,2,3,0.171428571428571,0.2,0,0,0,0,0,14,0,1910,161
FALSE,FALSE,Rube Sellers,1,32,3,5,0,0,0,2,1,0.15625,0.15625,0,0,0,0,0,5,0,1910,163
FALSE,FALSE,Bud Sharpe,2,625,40,139,17,6,0,41,4,0.2224,0.2688,0,0,0,0,0,168,0,1910,164
FALSE,FALSE,Bob Meinke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,166
FALSE,FALSE,Simon Nicholls,6,1133,144,284,32,6,4,58,27,0.250661959399823,0.30008826125331,0,0,0,0,0,340,0,1910,167
FALSE,FALSE,Ernie Lush,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,169
FALSE,FALSE,Johnny Lush,7,993,107,252,40,11,2,94,28,0.253776435045317,0.322255790533736,0,0,0,0,0,320,0,1910,170
FALSE,FALSE,Ed McDonough,2,10,1,1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,1,0,1910,172
FALSE,FALSE,Joe McDonald,1,32,4,5,0,0,0,1,0,0.15625,0.15625,0,0,0,0,0,5,0,1910,173
FALSE,FALSE,Swat McCabe,2,46,5,15,2,0,0,5,1,0.326086956521739,0.369565217391304,0,0,0,0,0,17,0,1910,175
FALSE,FALSE,Jim Rutherford,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,1910,176
FALSE,FALSE,Jim Riley,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,178
FALSE,FALSE,Doc Ralston,1,73,4,15,1,0,0,3,2,0.205479452054795,0.219178082191781,0,0,0,0,0,16,0,1910,179
FALSE,FALSE,Ralph Pond,1,4,0,1,0,0,0,0,1,0.25,0.25,0,0,0,0,0,1,0,1910,181
FALSE,FALSE,John Quinn,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,182
FALSE,FALSE,Amby McConnell,4,1506,202,398,30,22,3,119,72,0.264276228419655,0.319389110225764,0,0,0,0,0,481,0,1911,184
FALSE,FALSE,Paddy Mayes,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,185
FALSE,FALSE,Otto McIvor,1,62,11,14,2,1,1,9,0,0.225806451612903,0.338709677419355,0,0,0,0,0,21,0,1911,187
FALSE,FALSE,Dan McGeehan,1,9,0,2,0,0,0,1,0,0.222222222222222,0.222222222222222,0,0,0,0,0,2,0,1911,188
FALSE,FALSE,Stubby Magner,1,33,3,7,0,0,0,4,1,0.212121212121212,0.212121212121212,0,0,0,0,0,7,0,1911,190
FALSE,FALSE,Danny Mahoney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,191
FALSE,FALSE,Allie Moulton,1,15,4,1,0,0,0,1,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0,1,0,1911,193
FALSE,FALSE,Paul Meloan,2,431,53,109,17,8,3,38,11,0.252900232018561,0.350348027842227,0,0,0,0,0,151,0,1911,194
FALSE,FALSE,Jack Mills,1,17,5,5,0,0,0,1,1,0.294117647058824,0.294117647058824,0,0,0,0,0,5,0,1911,196
FALSE,FALSE,Al Schweitzer,4,874,97,208,28,8,3,87,47,0.237986270022883,0.29862700228833,0,0,0,0,0,261,0,1911,197
FALSE,FALSE,Jock Somerlott,2,103,8,21,0,0,0,4,4,0.203883495145631,0.203883495145631,0,0,0,0,0,21,0,1911,199
FALSE,FALSE,Clyde Southwick,1,12,3,3,0,0,0,0,0,0.25,0.25,0,0,0,0,0,3,0,1911,200
FALSE,FALSE,Harry Welchonce,1,66,9,14,4,0,0,6,0,0.212121212121212,0.272727272727273,0,0,0,0,0,18,0,1911,202
FALSE,FALSE,Bert Weeden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,203
FALSE,FALSE,Herman Young,1,25,2,6,0,0,0,0,0,0.24,0.24,0,0,0,0,0,6,0,1911,205
FALSE,FALSE,Ed Wilkinson,1,13,2,3,0,0,0,1,0,0.230769230769231,0.230769230769231,0,0,0,0,0,3,0,1911,206
FALSE,FALSE,Eddie Zimmerman,2,431,31,80,10,7,3,37,9,0.185614849187935,0.262180974477958,0,0,0,0,0,113,0,1911,208
FALSE,FALSE,Hy Gunning,1,9,0,1,0,0,0,2,0,0.111111111111111,0.111111111111111,0,0,0,0,0,1,0,1911,209
FALSE,FALSE,Mike Handiboe,1,15,0,1,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0,1,0,1911,211
FALSE,FALSE,Joe Giannini,1,2,0,1,1,0,0,0,0,0.5,1,0,0,0,0,0,2,0,1911,212
FALSE,FALSE,Tex Jones,1,31,4,6,1,0,0,4,1,0.193548387096774,0.225806451612903,0,0,0,0,0,7,0,1911,214
FALSE,FALSE,Otis Johnson,1,209,21,49,9,6,3,36,12,0.23444976076555,0.37799043062201,0,0,0,0,0,79,0,1911,215
FALSE,FALSE,Al Humphrey,1,27,4,5,0,0,0,0,0,0.185185185185185,0.185185185185185,0,0,0,0,0,5,0,1911,217
FALSE,FALSE,Bill Lindsay,1,66,6,16,2,0,0,5,2,0.242424242424242,0.272727272727273,0,0,0,0,0,18,0,1911,218
FALSE,FALSE,Chick Lathers,2,127,9,29,3,0,0,7,0,0.228346456692913,0.251968503937008,0,0,0,0,0,32,0,1911,220
FALSE,FALSE,Clarence Lehr,1,27,2,4,0,0,0,2,0,0.148148148148148,0.148148148148148,0,0,0,0,0,4,0,1911,221
FALSE,FALSE,Ralph Kreitz,1,17,0,4,1,0,0,0,0,0.235294117647059,0.294117647058824,0,0,0,0,0,5,0,1911,223
FALSE,FALSE,Bill Bailey,1,9,1,1,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,1,0,1911,224
FALSE,FALSE,Al Burch,6,2185,254,554,48,20,4,103,96,0.253546910755149,0.299313501144165,0,0,0,0,0,654,0,1911,226
FALSE,FALSE,Dave Callahan,2,60,7,12,1,1,0,2,5,0.2,0.25,0,0,0,0,0,15,0,1911,227
FALSE,FALSE,Al Clancy,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,229
FALSE,FALSE,Swede Carlstrom,1,6,0,1,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,1,0,1911,230
FALSE,FALSE,Dode Criss,4,304,38,84,19,4,3,47,3,0.276315789473684,0.394736842105263,0,0,0,0,0,120,0,1911,232
FALSE,FALSE,Charles Conway,1,3,0,1,0,1,0,0,0,0.333333333333333,1,0,0,0,0,0,3,0,1911,233
FALSE,FALSE,Jim Doyle,2,485,70,135,25,12,5,63,19,0.278350515463918,0.410309278350515,0,0,0,0,0,199,0,1911,235
FALSE,FALSE,Jerry D'Arcy,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,236
FALSE,FALSE,Gene Elliott,1,13,1,1,1,0,0,1,0,0.0769230769230769,0.153846153846154,0,0,0,0,0,2,0,1911,238
FALSE,FALSE,Bill Davidson,3,808,83,190,16,11,1,60,46,0.235148514851485,0.285891089108911,0,0,0,0,0,231,0,1911,239
FALSE,FALSE,Jud Daley,2,264,30,66,11,2,1,20,4,0.25,0.318181818181818,0,0,0,0,0,84,0,1912,241
FALSE,FALSE,Bill Cunningham,3,432,42,90,16,6,4,59,16,0.208333333333333,0.300925925925926,0,0,0,0,0,130,0,1912,242
FALSE,FALSE,Rube Ellis,4,1985,279,517,66,30,13,199,58,0.260453400503778,0.343576826196474,0,0,0,0,0,682,0,1912,244
FALSE,FALSE,Chester Emerson,2,19,2,4,0,0,0,0,1,0.210526315789474,0.210526315789474,0,0,0,0,0,4,0,1912,245
FALSE,FALSE,John Dowd,1,31,1,6,1,0,0,0,0,0.193548387096774,0.225806451612903,0,0,0,0,0,7,0,1912,247
FALSE,FALSE,Red Downs,3,790,67,179,30,11,3,94,13,0.226582278481013,0.30379746835443,0,0,0,0,0,240,0,1912,248
FALSE,FALSE,Curt Coleman,1,37,8,9,4,0,0,4,0,0.243243243243243,0.351351351351351,0,0,0,0,0,13,0,1912,250
FALSE,FALSE,Dick Cotter,2,100,8,28,0,2,0,15,2,0.28,0.32,0,0,0,0,0,32,0,1912,251
FALSE,FALSE,Jack Bliss,5,654,70,143,15,6,3,61,13,0.218654434250765,0.273700305810398,0,0,0,0,0,179,0,1912,253
FALSE,FALSE,Dennis Berran,1,4,1,1,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,0,1912,254
FALSE,FALSE,Hank Butcher,2,215,30,48,11,4,2,21,10,0.223255813953488,0.33953488372093,0,0,0,0,0,73,0,1912,256
FALSE,FALSE,Bill Brown,1,20,0,4,0,0,0,1,0,0.2,0.2,0,0,0,0,0,4,0,1912,257
FALSE,FALSE,Cuke Barrows,4,99,6,19,2,0,0,9,3,0.191919191919192,0.212121212121212,0,0,0,0,0,21,0,1912,259
FALSE,FALSE,George Batten,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,260
FALSE,FALSE,Joe Kutina,2,306,30,68,15,5,4,33,2,0.222222222222222,0.343137254901961,0,0,0,0,0,105,0,1912,262
FALSE,FALSE,Andy Kyle,1,21,3,7,1,0,0,4,0,0.333333333333333,0.380952380952381,0,0,0,0,0,8,0,1912,263
