InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,FALSE,Evar Swanson,5,1892,325,573,87,28,7,170,69,0.30285412262156447,0.38953488372093026,0,0,0,0,0,859,1934,1851
FALSE,FALSE,Frenchy Uhalt,1,165,28,40,5,1,0,16,6,0.24242424242424243,0.28484848484848485,0,0,0,0,0,53,1934,1854
FALSE,FALSE,Art Ruble,2,145,23,30,8,2,0,19,2,0.20689655172413793,0.28965517241379313,0,0,0,0,0,52,1934,1857
FALSE,FALSE,Ivey Shiver,2,68,8,13,1,0,2,6,1,0.19117647058823528,0.29411764705882354,0,0,0,0,0,23,1934,1860
FALSE,FALSE,Art Scharein,3,776,92,189,32,5,0,70,11,0.24355670103092783,0.29768041237113402,0,0,0,0,0,268,1934,1863
FALSE,FALSE,Jerry McQuaig,1,16,2,1,0,0,0,1,0,0.0625,0.0625,0,0,0,0,0,1,1934,1866
FALSE,FALSE,Harry McCurdy,10,1157,148,326,71,12,9,148,12,0.28176318063958511,0.38720829732065687,0,0,0,0,0,540,1934,1869
FALSE,FALSE,Johnny Pasek,2,70,7,18,4,0,0,4,2,0.25714285714285717,0.31428571428571428,0,0,0,0,0,26,1934,1872
FALSE,TRUE,Lefty O'Doul,11,3264,624,1140,175,41,113,542,36,0.34926470588235292,0.53186274509803921,1,0,0,0,0,2065,1934,1875
FALSE,FALSE,Ed Morgan,7,2810,512,879,186,45,52,473,36,0.3128113879003559,0.46654804270462635,0,0,0,0,0,1594,1934,1878
FALSE,FALSE,Bob O'Farrell,21,4101,517,1120,201,58,51,549,35,0.2731041209461107,0.387710314557425,0,1,0,0,0,1900,1935,1881
FALSE,FALSE,Ernie Orsatti,9,2165,306,663,129,39,10,237,46,0.30623556581986144,0.41570438799076215,0,0,0,0,0,1078,1935,1884
