InductedToHallOfFame,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB
FALSE,6,1252,95,276,30,21,3,97,14,0.220447284,0.28514377,0,0,0,0,0,411
FALSE,4,378,38,90,7,1,0,30,14,0.238095238,0.261904762,0,0,0,0,0,107
FALSE,1,15,0,3,0,0,0,0,0,0.2,0.2,0,0,0,0,0,3
FALSE,2,243,28,60,7,6,5,28,3,0.24691358,0.386831276,0,0,0,0,0,112
FALSE,1,19,0,4,1,0,0,0,0,0.210526316,0.263157895,0,0,0,0,0,6
FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1
FALSE,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,1,21,3,7,1,0,0,4,0,0.333333333,0.380952381,0,0,0,0,0,9
FALSE,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,2,1,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1
FALSE,2,248,40,62,8,6,1,13,11,0.25,0.342741935,0,0,0,0,0,100
FALSE,1,25,2,5,3,0,0,3,0,0.2,0.32,0,0,0,0,0,11
FALSE,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,4,991,73,207,21,4,0,54,45,0.208879919,0.23814329,0,0,0,0,0,261
FALSE,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,15,2,4,1,0,0,0,1,0.266666667,0.333333333,0,0,0,0,0,6
FALSE,1,36,3,6,1,0,0,0,0,0.166666667,0.194444444,0,0,0,0,0,8
FALSE,1,17,1,1,0,0,0,2,0,5.88E-02,5.88E-02,0,0,0,0,0,1
FALSE,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,1,9,2,2,0,1,0,2,0,0.222222222,0.444444444,0,0,0,0,0,5
FALSE,3,584,76,159,29,8,3,63,14,0.272260274,0.364726027,0,0,0,0,0,253
FALSE,1,11,2,5,0,0,0,3,0,0.454545455,0.454545455,0,0,0,0,0,5
FALSE,1,47,4,12,0,0,0,4,0,0.255319149,0.255319149,0,0,0,0,0,12
